0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,label
-201.33746,136.42343,-6.8309264,1.8221867,-4.427489,-13.576315,-15.3028,-13.603581,-7.9192085,-11.601675,-35.39584,-11.147579,4.0545774,0,0,0
-226.78247,135.70525,-38.0275,12.6624,-14.751205,-14.567306,-6.3380313,-12.272164,-10.248142,-14.667688,-15.8082485,-11.280014,-3.1494377,0,0,0
-221.26553,158.63231,1.0194423,20.284489,4.846085,-1.4252096,-10.871112,-18.308754,-12.458965,-7.085068,-11.031904,-3.0390253,-4.901764,0,0,0
-318.794,140.43375,45.09703,20.815369,-3.8953035,-17.672009,-23.915646,-11.036547,-6.910484,-10.567465,-16.757187,-8.942539,-12.160554,0,0,0
-353.5395,77.79975,30.516912,28.318022,16.166304,19.169794,-0.7470162,8.004303,6.8779316,1.4493502,-0.63307947,2.463426,0.8300657,0,0,0
-296.33258,80.82867,19.655716,31.847702,-1.8182714,-15.405411,3.9269104,-10.894456,-24.404743,-3.739956,-8.8540945,-11.453023,3.829668,0,0,0
-146.76694,92.98815,16.804222,37.126064,-22.014738,3.0745623,-16.27261,-1.2950126,-13.034958,-3.047651,-10.032519,-10.748579,-8.212545,0,0,0
-219.48636,146.69882,-16.62948,-9.3012085,-29.84808,-14.207424,-9.943911,-3.434766,-8.464702,-2.725049,0.819201,-3.7362404,-7.6738257,0,0,0
-347.20255,75.74889,27.949335,-12.761908,-2.2704918,-6.3682523,-17.69989,-5.5790787,-28.933023,2.4888399,10.967966,-2.8838048,-0.76832545,0,0,0
-278.0595,115.02217,1.5561603,12.486008,8.343315,-3.153328,-9.375079,-10.345018,-12.052472,-13.343401,-6.5864305,3.018865,-1.5004548,0,0,0
-315.15234,120.6843,1.6472068,21.06488,14.275331,6.8551197,5.0879536,-4.074999,-2.8633156,7.3807116,1.1292934,-1.138284,-0.023753345,0,0,0
-192.60359,170.80225,-0.94503456,8.351635,-12.432885,12.201292,-2.0837872,-9.310944,1.9817716,-7.858181,-13.819182,-13.713523,-23.496292,0,0,0
-293.25296,134.2087,14.612979,9.691889,-4.3095274,-2.6650543,-8.265935,-0.03260138,-4.4559355,6.814033,-5.3545384,-2.5062673,2.5056536,0,0,0
-163.49797,93.71532,16.561356,20.5036,4.2975173,1.2924616,-4.508486,2.4427423,2.0672336,7.008072,-4.1045136,-3.3780224,-8.465311,0,0,0
-225.64359,60.156155,36.66076,21.511204,1.8233817,-5.2841315,-36.164967,1.3069559,-16.975357,-5.1123004,-10.116956,-8.73327,-2.687547,0,0,0
-262.17694,105.03775,30.971817,-4.48966,-7.4717064,2.627557,-8.183755,0.33398774,-22.37391,8.267233,0.56535673,-0.48182026,-4.1092176,0,0,0
-93.44955,168.42911,-3.2632656,-6.8566437,-19.201056,4.7608786,-7.3993287,-6.7324004,-24.64488,-32.036015,-24.205809,-18.67419,-15.635051,0,0,0
-160.8277,109.30339,-73.015045,26.219872,-9.810603,4.70832,-0.888467,-11.926993,-4.9003944,-7.012205,-13.998474,-13.058642,-4.6874127,0,0,0
